,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSMUSG00000022074,40.9001156,2.608013952,0.395699896,6.505101801,7.76E-11,2.90E-08,Tnfrsf10b
ENSMUSG00000030341,1299.853178,0.720444785,0.180955679,3.981345494,6.85E-05,0.004690904,Tnfrsf1a
ENSMUSG00000010751,25.22461497,1.269043133,0.398694183,3.202214787,0.001363753,0.047363667,Tnfrsf22
ENSMUSG00000037613,21.63838867,1.415505042,0.400053334,3.546525262,0.000390347,0.018492926,Tnfrsf23
ENSMUSG00000032366,378.5243621,1.050672935,0.242073817,4.340248181,1.42E-05,0.001335564,Tpm1
ENSMUSG00000054226,1442.704111,-0.918151001,0.254689441,-3.603548798,0.000313902,0.015999958,Tprkb
ENSMUSG00000041779,240.1562866,-0.978004474,0.289767695,-3.37243081,0.000745078,0.029993625,Tram2
ENSMUSG00000038260,25.53781774,1.332221854,0.410978469,3.591692191,0.000328538,0.016498864,Trpm4
ENSMUSG00000028555,60.80178839,2.261322367,0.413432093,6.206712543,5.41E-10,1.63E-07,Ttc39a
ENSMUSG00000030137,39.23697018,2.37110932,0.391608939,6.011854013,1.83E-09,5.30E-07,Tuba8
ENSMUSG00000026956,154.7138983,2.696855538,0.35521452,7.613113539,2.68E-14,2.71E-11,Uap1l1
ENSMUSG00000008348,6037.067358,0.89390811,0.281068139,3.182915602,0.001458001,0.049782831,Ubc
ENSMUSG00000035186,41.14325286,2.079890935,0.408937439,5.312511351,1.08E-07,1.96E-05,Ubd
ENSMUSG00000029201,3521.556219,1.151301764,0.28755705,4.008463523,6.11E-05,0.004330003,Ugdh
ENSMUSG00000090171,1249.462634,1.661137476,0.370891142,4.531514736,5.86E-06,0.000603448,Ugt1a2
ENSMUSG00000054545,1919.917593,1.154151068,0.304646746,3.794630034,0.000147864,0.009149474,Ugt1a6a
ENSMUSG00000090124,1357.179709,-1.442089456,0.389625521,-3.692102044,0.000222408,0.012310641,Ugt1a7c
ENSMUSG00000035780,4123.100251,-0.769538978,0.20780647,-3.702645016,0.000213363,0.012093433,Ugt2a3
ENSMUSG00000020905,8.037671653,0.903726687,0.363843738,3.776491555,0.000159053,0.009651084,Usp43
ENSMUSG00000031380,3.051785341,-0.954259845,0.353037919,-3.190396926,0.001420775,0.048983901,Vegfd
ENSMUSG00000037788,154.4102109,0.872620935,0.261878342,3.331025824,0.000865266,0.033237714,Vopp1
ENSMUSG00000037572,32.37084154,1.353208891,0.330192078,4.073915863,4.62E-05,0.003447724,Wdhd1
ENSMUSG00000066357,584.0622025,0.888704239,0.227175407,3.912156489,9.15E-05,0.006000969,Wdr6
ENSMUSG00000017723,127.9234409,1.683277007,0.369678037,4.58962931,4.44E-06,0.000487749,Wfdc2
ENSMUSG00000026117,51.95899267,-1.565364297,0.384614972,-4.04998511,5.12E-05,0.00367872,Zap70
ENSMUSG00000043467,167.6962321,-1.587436018,0.395403522,-4.006879296,6.15E-05,0.00433745,Zbtb37
ENSMUSG00000066829,113.458298,1.098240254,0.323565019,3.396631358,0.000682208,0.028432024,Zfp810
ENSMUSG00000035868,85.77473392,-1.064500108,0.23447449,-4.535928749,5.74E-06,0.000601968,Zfp983
