EntrezID,log2FC HFD,log2FC XN
Pdlim7,1.148817452,NA
Ocln,-0.756489411,NA
Elovl7,2.560675062,1.472973283
Plk2,0.638876934,NA
Ptprg,-0.685873911,NA
Fst,1.219147767,NA
Oxsm,-1.495342806,NA
Anxa7,0.774978275,NA
Samd4,1.324508284,NA
Tmem254b,-0.95331334,-1.540371629
Oxnad1,-0.687123551,NA
Tkt,0.781535133,0.772455571
Micu2,0.724705274,NA
Diaph3,1.596808585,NA
Pbk,1.287786857,NA
Esco2,1.517039176,NA
Bnip3l,-0.972577012,NA
Entpd4b,NA,-0.739300363
Tnfrsf10b,2.27229373,2.087378614
Sorbs3,-0.841870528,NA
Fbxl3,-0.546994931,NA
Dct,-1.521528244,NA
Dnajc3,-0.675780204,NA
Lrp10,NA,0.778236947
6030458C11Rik,-1.166410971,NA
Ank,-0.80484898,NA
Dpys,-0.935709303,NA
Matn2,NA,1.76923344
Ebag9,-0.92109073,NA
Myc,1.31113992,NA
Gtse1,1.181280342,1.414710534
Tef,-0.941629918,NA
Fam83f,1.170451935,NA
Deptor,-0.457545658,NA
Parvg,1.070324672,NA
C1qtnf6,1.143330245,NA
Slc38a2,-0.523158145,NA
Srebf2,-0.599463198,NA
Slc38a4,-0.624830795,NA
Aco2,0.369460989,NA
Litaf,0.654879089,NA
Gm9861,0.654879089,NA
Nubp1,0.794525724,NA
Ciita,1.323280769,NA
Il1rap,-0.801817797,NA
Adck5,-0.889897532,NA
Dgat1,0.585883526,NA
Grina,0.61172971,NA
Nectin3,-0.895712941,NA
Ccdc80,0.816876633,NA
Mcm4,0.850250156,NA
Mpv17l,-0.73622533,NA
Nit2,-0.716068533,-0.719561829
Slc7a4,1.239402116,NA
Nr1i2,-0.543957239,NA
Itgb5,0.518550397,NA
Abcc5,1.251048031,NA
Tmem41a,1.267952849,NA
Btg3,1.145197955,NA
Robo1,NA,1.437912091
Arl13b,-0.707859466,NA
Pros1,0.649446293,NA
Pigp,NA,0.919543426
Cbr3,1.232922733,1.677483542
Setd4,-1.06232366,NA
Tuba1b,0.385883584,NA
Scn8a,2.047223984,NA
Krt18,1.033386186,NA
Fabp2,NA,-0.776654951
Rttn,-0.722777765,NA
Cdkn1a,2.977077897,1.292906321
Cxcl13,NA,-1.456591136
Ivns1abp,NA,0.87740811
Serinc2,0.841055455,NA
Tmem176a,NA,0.952376623
Igf2r,0.540902366,NA
Pkmyt1,1.51776809,NA
Paqr4,1.026247964,NA
Pla2g7,1.495170189,1.174173225
Ubr2,-0.519197712,NA
Trem2,1.373716835,NA
Abcg1,0.885492109,NA
Prkd3,-0.502083638,NA
Tedc2,-1.027886158,-1.243488941
Pdpk1,-0.443519544,NA
Rhoq,NA,0.727585266
Nudt12,-0.844595961,NA
Pkdcc,0.950092777,NA
Abcg8,NA,0.930633898
Zfp871,-0.768769014,NA
Tapbp,0.836062544,NA
Stard4,-0.836514431,NA
Spry4,NA,-1.398620859
Ap3s1,0.45757587,NA
Cep192,1.135009255,NA
Nars,NA,-0.760364402
Cd74,1.106484577,NA
Hmgxb3,NA,0.935527329
Ms4a7,1.407206085,NA
Lpxn,0.912995181,NA
Slc15a3,0.966683954,NA
