"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"ENSMUSG00000027405",80.8637446925395,0.784871246690878,0.231547714858958,3.38800708185832,0.000704024465187906,0.0150149022925615,"Nop56"
"ENSMUSG00000087579",1806.94781135927,-1.2819191666245,0.402629772931306,-3.47705346789889,0.000506956709792442,0.0116641665313821,"Hectd2os"
"ENSMUSG00000029919",36.0549950854879,1.27389684177962,0.349809562601895,3.62530498686982,0.000288620627358951,0.0075875276370612,"Hpgds"
"ENSMUSG00000029910",160.778032276634,1.49653604066018,0.337737736626883,4.41141311736414,1.02698162378504e-05,0.000508482915635195,"Mad2l1"
"ENSMUSG00000034435",1743.83873622061,-0.452632479563542,0.136233623739627,-3.32246043690143,0.000892273236430297,0.0176839216249807,"Tmem30b"
"ENSMUSG00000027408",22.6492901440345,1.31793776822084,0.400033565092805,3.26587877649056,0.00109124953656827,0.0205242798743552,"Cpxm1"
"ENSMUSG00000111709",107.930604251902,1.12205155826174,0.345169301407208,5.03918154248095,4.67526855036142e-07,3.63943682931468e-05,"Gm3776"
"ENSMUSG00000012123",41.5030571288368,-1.47931153252074,0.392721977769462,-3.89480489009372,9.82778045883705e-05,0.0032554813188942,"Crybg2"
"ENSMUSG00000025268",96.8473108591085,0.957506719607716,0.212929102487125,4.49658056698786,6.90550203436498e-06,0.000369312574448557,"Maged2"
"ENSMUSG00000107476",143.27806095063,-0.552890032475017,0.166889462957283,-3.31159056910565,0.000927672060968297,0.0182106172203983,"Zfp862-ps"
"ENSMUSG00000070605",53.5382017374933,1.17509728481232,0.386207098865877,3.0199400373283,0.00252824733988054,0.0389294524466001,"Zfp992"
"ENSMUSG00000075706",8859.58383762682,1.32326655906277,0.300794778122062,4.38782805340396,1.14488229526007e-05,0.000553175542109799,"Gpx4"
"ENSMUSG00000026956",125.566505024515,2.3582131178919,0.264403461535098,8.87960607329598,6.70975543104324e-19,5.53041724116341e-16,"Uap1l1"
"ENSMUSG00000026958",758.83434039969,0.997615409587842,0.156914427227207,6.35697436384834,2.05766316666453e-10,4.23999651342696e-08,"Dpp7"
"ENSMUSG00000021638",502.473438463542,-0.756489410639861,0.250828938341788,-3.0179034028257,0.00254530023250195,0.0391478034809792,"Ocln"
"ENSMUSG00000074151",282.091623447423,-1.00107643373425,0.26223481403839,-3.82007672723124,0.000133410166562391,0.00413571516343413,"Nlrc5"
"ENSMUSG00000026548",49.0985395739671,1.35133837634847,0.285568935253347,4.72247674862995,2.32989733288585e-06,0.000149070874102268,"Slamf9"
"ENSMUSG00000026547",448.672562292831,0.962126942521227,0.27877995539775,3.44647524293816,0.000567950601267928,0.0127738745184048,"Tagln2"
"ENSMUSG00000101397",983.69189507859,-1.10196723420102,0.240659345114884,-4.5820289538926,4.60486116964331e-06,0.000260174656084847,"Mug-ps1"
"ENSMUSG00000046402",290.386425716134,0.911362041561791,0.252339287060569,3.60937467197998,0.000306936020824588,0.00793503233172349,"Rbp1"
"ENSMUSG00000002059",94.8634935734149,2.02481690336222,0.301596551654107,6.67610352477246,2.45378665666988e-11,6.11464596744308e-09,"Rab34"
"ENSMUSG00000001506",103.900670765443,2.00873741540268,0.354032377094714,5.61779720947107,1.93407303796687e-08,2.3565418615645e-06,"Col1a1"
